"# GaAs n,k data based on Adachi, with doping-dependent near-bandedge data from Casey"
"# This data file generated using generate.py"
"# See Adachi_dop.tcl for details."
"# "
0.81035 3.6762 0.079566
0.81141 3.6755 0.078813
0.81248 3.6748 0.078099
0.81354 3.6742 0.077612
0.81461 3.6735 0.077095
0.81569 3.6728 0.076572
0.81676 3.6721 0.076052
0.81784 3.6714 0.075536
0.81892 3.6708 0.075024
0.82 3.6701 0.074515
0.82109 3.6694 0.07401
0.82218 3.6687 0.073518
0.82327 3.668 0.073063
0.82436 3.6674 0.07261
0.82546 3.6667 0.072161
0.82656 3.666 0.071714
0.82766 3.6604 0.071276
0.82877 3.6548 0.070848
0.82988 3.6492 0.070422
0.83099 3.6436 0.069999
0.83211 3.638 0.069579
0.83323 3.6376 0.069153
0.83435 3.6372 0.068726
0.83547 3.6368 0.068317
0.8366 3.6364 0.067986
0.83773 3.636 0.067655
0.83886 3.6358 0.067327
0.84 3.6356 0.066962
0.84114 3.6354 0.066564
0.84228 3.6352 0.066169
0.84343 3.635 0.065778
0.84458 3.6348 0.06539
0.84573 3.6346 0.065005
0.84689 3.6344 0.064624
0.84805 3.6342 0.064245
0.84921 3.634 0.063852
0.85037 3.634 0.063461
0.85154 3.634 0.063075
0.85271 3.634 0.062655
0.85389 3.634 0.062017
0.85506 3.634 0.061385
0.85624 3.6342 0.060703
0.85743 3.6344 0.059941
0.85862 3.6346 0.059195
0.85981 3.6348 0.058463
0.861 3.635 0.058031
0.8622 3.636 0.058086
0.8634 3.637 0.058139
0.8646 3.638 0.059559
0.86581 3.639 0.061312
0.86702 3.64 0.060456
0.86824 3.6412 0.058183
0.86945 3.6424 0.052831
0.87068 3.6436 0.043527
0.8719 3.6448 0.032972
0.87313 3.646 0.024774
0.87436 3.6424 0.018632
0.87559 3.6388 0.014016
0.87683 3.6352 0.010536
0.87807 3.6316 0.0079263
0.87932 3.628 0.0059679
0.88057 3.6246 0.0044973
0.88182 3.6212 0.0033895
0.88308 3.6178 0.0025227
0.88434 3.6144 0.0018785
0.8856 3.611 0.0013987
0.88687 3.6088 0.0010428
0.88814 3.6066 0.00077847
0.88941 3.6044 0.00058202
0.89069 3.6022 0.00043581
0.89197 3.6 0.00032685
0.89326 3.598 0.00024555
0.89455 3.596 0.0001848
0.89584 3.594 0.00013934
0.89714 3.592 0.00010519
0.89844 3.59 8.4225e-05
0.89974 3.5882 7.2077e-05
0.90105 3.5864 6.1937e-05
0.90236 3.5846 5.3431e-05
0.90367 3.5828 4.7098e-05
0.90499 3.581 4.2598e-05
0.90632 3.5794 3.8545e-05
0.90764 3.5778 3.4895e-05
0.90897 3.5762 3.1606e-05
0.91031 3.5746 2.8642e-05
0.91165 3.573 2.5969e-05
0.91299 3.5716 2.3558e-05
0.91434 3.5702 2.1382e-05
0.91569 3.5688 1.9418e-05
0.91704 3.5674 1.7645e-05
0.9184 3.566 1.6042e-05
0.91976 3.5644 1.4594e-05
0.92113 3.5628 1.3284e-05
0.9225 3.5612 1.2099e-05
0.92388 3.5596 1.1027e-05
0.92526 3.558 1.0056e-05
0.92664 3.5564 9.1756e-06
0.92803 3.5548 8.3779e-06
0.92942 3.5532 7.6544e-06
0.93081 3.5516 6.9978e-06
0.93221 3.55 6.4017e-06
0.93362 3.5492 5.8601e-06
0.93502 3.5484 5.3679e-06
0.93644 3.5476 4.9202e-06
0.93785 3.5468 4.5127e-06
0.93927 3.546 4.1417e-06
0.9407 3.545 3.8036e-06
0.94213 3.544 3.4954e-06
0.94356 3.543 3.2143e-06
0.945 3.542 2.9576e-06
0.94644 3.541 2.7232e-06
0.94789 3.5398 2.5089e-06
0.94934 3.5386 2.3129e-06
0.9508 3.5374 2.1336e-06
0.95226 3.5362 1.9694e-06
0.95372 3.535 1.8189e-06
0.99187 3.514 1.8916e-06
1.0332 3.493 1.9704e-06
1.0781 3.4735 2.0561e-06
1.1271 3.454 2.1496e-06
1.1808 3.438 2.2519e-06
1.2398 3.422 2.3645e-06
