# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 1.0
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.7300 2.854341 0.107847
0.7325 2.852674 0.107313
0.7350 2.851027 0.106785
0.7375 2.849399 0.106264
0.7400 2.847789 0.10575
0.7425 2.846198 0.105242
0.7450 2.844625 0.104739
0.7475 2.843069 0.104244
0.7500 2.841531 0.103754
0.7525 2.84001 0.103269
0.7550 2.838506 0.10279
0.7575 2.837018 0.102316
0.7600 2.835547 0.101849
0.7625 2.834092 0.101386
0.7650 2.832652 0.100929
0.7675 2.831228 0.100478
0.7700 2.82982 0.100031
0.7725 2.828426 0.099589
0.7750 2.827048 0.099152
0.7775 2.825684 0.098721
0.7800 2.824335 0.098293
0.7825 2.822999 0.09787
0.7850 2.821678 0.097453
0.7875 2.820371 0.097039
0.7900 2.819077 0.096631
0.7925 2.817796 0.096226
0.7950 2.81653 0.095826
0.7975 2.815276 0.095429
0.8000 2.814034 0.095038
0.8025 2.812806 0.09465
0.8050 2.811589 0.094267
0.8075 2.810385 0.093887
0.8100 2.809193 0.093511
0.8125 2.808014 0.093139
0.8150 2.806845 0.092771
0.8175 2.805689 0.092407
0.8200 2.804544 0.092046
0.8225 2.803411 0.091689
0.8250 2.802287 0.091335
0.8275 2.801175 0.090985
0.8300 2.800074 0.090638
0.8325 2.798984 0.090295
0.8350 2.797904 0.089956
0.8375 2.796834 0.089619
0.8400 2.795775 0.089285
0.8425 2.794725 0.088955
0.8450 2.793686 0.088629
0.8475 2.792656 0.088305
0.8500 2.791637 0.087984
0.8525 2.790627 0.087666
0.8550 2.789627 0.087351
0.8575 2.788635 0.08704
0.8600 2.787653 0.08673
0.8625 2.786679 0.086425
0.8650 2.785714 0.086121
0.8675 2.784759 0.085821
0.8700 2.783812 0.085523
0.8725 2.782875 0.085228
0.8750 2.781945 0.084936
0.8775 2.781024 0.084646
0.8800 2.78011 0.084358
0.8825 2.779206 0.084074
0.8850 2.778309 0.083792
0.8875 2.77742 0.083511
0.8900 2.776539 0.083234
0.8925 2.775666 0.08296
0.8950 2.774801 0.082687
0.8975 2.773942 0.082416
0.9000 2.773092 0.082149
0.9025 2.772249 0.081883
0.9050 2.771414 0.08162
0.9075 2.770584 0.081359
0.9100 2.769763 0.081101
