# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 0.1
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.7300 3.249082 0.132911
0.7325 3.246605 0.132106
0.7350 3.244164 0.131313
0.7375 3.241756 0.130533
0.7400 3.239381 0.129765
0.7425 3.237041 0.129009
0.7450 3.234733 0.128264
0.7475 3.232455 0.12753
0.7500 3.230209 0.126807
0.7525 3.227993 0.126095
0.7550 3.225805 0.125393
0.7575 3.223647 0.124701
0.7600 3.221518 0.124019
0.7625 3.219415 0.123347
0.7650 3.21734 0.122683
0.7675 3.215291 0.122029
0.7700 3.213268 0.121383
0.7725 3.21127 0.120747
0.7750 3.209298 0.120118
0.7775 3.20735 0.119499
0.7800 3.205425 0.118887
0.7825 3.203524 0.118282
0.7850 3.201647 0.117686
0.7875 3.199792 0.117098
0.7900 3.197959 0.116517
0.7925 3.196149 0.115943
0.7950 3.194359 0.115376
0.7975 3.19259 0.114817
0.8000 3.190842 0.114263
0.8025 3.189115 0.113717
0.8050 3.187407 0.113177
0.8075 3.185719 0.112644
0.8100 3.18405 0.112117
0.8125 3.1824 0.111596
0.8150 3.180768 0.111081
0.8175 3.179156 0.110572
0.8200 3.177561 0.11007
0.8225 3.175983 0.109572
0.8250 3.174423 0.10908
0.8275 3.17288 0.108594
0.8300 3.171354 0.108113
0.8325 3.169844 0.107638
0.8350 3.168351 0.107168
0.8375 3.166874 0.106703
0.8400 3.165412 0.106243
0.8425 3.163965 0.105788
0.8450 3.162534 0.105338
0.8475 3.161119 0.104893
0.8500 3.159718 0.104451
0.8525 3.15833 0.104016
0.8550 3.156958 0.103584
0.8575 3.1556 0.103158
0.8600 3.154257 0.102735
0.8625 3.152926 0.102316
0.8650 3.151609 0.101902
0.8675 3.150305 0.101493
0.8700 3.149014 0.101088
0.8725 3.147737 0.100685
0.8750 3.146472 0.100288
0.8775 3.14522 0.099895
0.8800 3.14398 0.099505
0.8825 3.142751 0.099119
0.8850 3.141536 0.098737
0.8875 3.140332 0.098359
0.8900 3.13914 0.097984
0.8925 3.137959 0.097612
0.8950 3.136789 0.097244
0.8975 3.13563 0.096881
0.9000 3.134483 0.096519
0.9025 3.133347 0.096162
0.9050 3.132221 0.095808
0.9075 3.131106 0.095457
0.9100 3.130001 0.095109
0.9125 3.128906 0.094765
0.9150 3.127822 0.094424
0.9175 3.126747 0.094086
0.9200 3.125683 0.09375
0.9225 3.124629 0.093418
0.9250 3.123583 0.093089
0.9275 3.122548 0.092763
0.9300 3.121522 0.09244
0.9325 3.120505 0.092119
0.9350 3.119497 0.091801
0.9375 3.118498 0.091486
