#Sentaurus Project Experiment and Node Execution Times in Seconds
Project directory:,/raidB/gforc034/STDB/AirPower/1550_PPC/MJ
Hostname:,dyson.rdc.uolocal
User:,gforc034
Sentaurus Version:,sentaurus_vS_2021.06
Simulation Start Time:,20220428_080144
File Creation Time:,20220428_082244

expt #,expt Total,epi,sde,MatPar,EQE,svisual_EQE,optics,JV,svisual_1D,svisual_JV,pyCollector
1,448,6,5,6,nan,nan,6,420,3,2,0
