# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
3.3200000E-01,3.9502342E+00,2.9026917E+00
3.3300000E-01,3.9527455E+00,2.8898564E+00
3.3400000E-01,3.9552567E+00,2.8770212E+00
3.3500000E-01,3.9577680E+00,2.8641859E+00
3.3600000E-01,3.9606291E+00,2.8524837E+00
3.3700000E-01,3.9635258E+00,2.8408968E+00
3.3800000E-01,3.9664225E+00,2.8293100E+00
3.3900000E-01,3.9693192E+00,2.8177231E+00
3.4000000E-01,3.9722159E+00,2.8061363E+00
3.4100000E-01,3.9751164E+00,2.7949404E+00
3.4200000E-01,3.9780229E+00,2.7843713E+00
3.4300000E-01,3.9809294E+00,2.7738022E+00
3.4400000E-01,3.9838359E+00,2.7632331E+00
3.4500000E-01,3.9870540E+00,2.7531462E+00
3.4600000E-01,3.9904802E+00,2.7433814E+00
3.4700000E-01,3.9939065E+00,2.7336166E+00
3.4800000E-01,3.9973327E+00,2.7238518E+00
3.4900000E-01,4.0007590E+00,2.7140870E+00
3.5000000E-01,4.0041852E+00,2.7043222E+00
3.5100000E-01,4.0078563E+00,2.6953354E+00
3.5200000E-01,4.0116037E+00,2.6865913E+00
3.5300000E-01,4.0153512E+00,2.6778473E+00
3.5400000E-01,4.0190986E+00,2.6691032E+00
3.5500000E-01,4.0234417E+00,2.6606082E+00
3.5600000E-01,4.0279735E+00,2.6521921E+00
3.5700000E-01,4.0325053E+00,2.6437760E+00
3.5800000E-01,4.0370370E+00,2.6353598E+00
3.5900000E-01,4.0415688E+00,2.6269437E+00
3.6000000E-01,4.0461005E+00,2.6185276E+00
3.6100000E-01,4.0510137E+00,2.6100685E+00
3.6200000E-01,4.0562021E+00,2.6015784E+00
3.6300000E-01,4.0613905E+00,2.5930882E+00
3.6400000E-01,4.0665789E+00,2.5845981E+00
3.6500000E-01,4.0718719E+00,2.5757761E+00
3.6600000E-01,4.0773675E+00,2.5663116E+00
3.6700000E-01,4.0828630E+00,2.5568470E+00
