Measured X,Measured Y,IQE  X,IQE  Y
1.795,0.0033500413,1.632,0.31427671
1.8,0.0030053491,1.636,0.30505136
-,-,1.64,0.29571255
-,-,1.644,0.28527768
-,-,1.648,0.27401566
-,-,1.652,0.26259931
-,-,1.656,0.24882612
-,-,1.66,0.23446518
-,-,1.664,0.21967774
-,-,1.668,0.2025136
-,-,1.672,0.18510185
-,-,1.676,0.16787959
-,-,1.68,0.1516534
-,-,1.684,0.13538593
-,-,1.688,0.11977893
-,-,1.692,0.1050618
-,-,1.696,0.090188389
-,-,1.7,0.077769111
-,-,1.704,0.067253506
-,-,1.708,0.056520748
-,-,1.712,0.048786533
-,-,1.716,0.042863766
-,-,1.72,0.036758347
-,-,1.724,0.031669946
-,-,1.728,0.027198793
-,-,1.732,0.022655551
-,-,1.736,0.020169211
-,-,1.74,0.018829077
-,-,1.744,0.017524064
-,-,1.748,0.016003365
-,-,1.752,0.014333711
-,-,1.756,0.012681672
-,-,1.76,0.011538836
-,-,1.764,0.011025301
-,-,1.768,0.010515857
-,-,1.772,0.010114036
-,-,1.776,0.010053049
-,-,1.78,0.0099704116
-,-,1.784,0.0097821716
-,-,1.788,0.0091035165
-,-,1.792,0.0084008764
-,-,1.796,0.0077008863
-,-,1.8,0.0071347085

