Measured X,Measured Y,IQE_2178 X,IQE_2178 Y
-,-,1,0.084231719
-,-,1.008,0.078652042
-,-,1.016,0.090374924
-,-,1.024,0.095804216
-,-,1.032,0.099769826
-,-,1.04,0.10495736
-,-,1.048,0.1097051
-,-,1.056,0.11330879
-,-,1.064,0.11925421
-,-,1.072,0.12460497
-,-,1.08,0.13121014
-,-,1.088,0.13573327
-,-,1.096,0.14047635
-,-,1.104,0.14776172
-,-,1.112,0.1551858
-,-,1.12,0.16041588
-,-,1.128,0.16574212
-,-,1.136,0.17359046
-,-,1.144,0.18050669
-,-,1.152,0.18571052
-,-,1.16,0.19257038
-,-,1.168,0.19977616
-,-,1.176,0.2070904
-,-,1.184,0.21174717
-,-,1.192,0.21489128
-,-,1.2,0.22031775
-,-,1.208,0.2256435
-,-,1.216,0.22979702
-,-,1.224,0.23357076
-,-,1.232,0.23847414
-,-,1.24,0.23999043
-,-,1.248,0.24687008
-,-,1.256,0.25122026
-,-,1.264,0.25715581
-,-,1.272,0.26156796
-,-,1.28,0.26428616
-,-,1.288,0.26784576
-,-,1.296,0.27325521
-,-,1.304,0.27870423
-,-,1.312,0.28258487
-,-,1.32,0.28662541
-,-,1.328,0.29251837
-,-,1.336,0.29885211
-,-,1.344,0.30307763
-,-,1.352,0.30794353
-,-,1.36,0.31527537
-,-,1.368,0.32194157
-,-,1.376,0.32482227
-,-,1.384,0.32855508
-,-,1.392,0.33223254
-,-,1.4,0.33950289
-,-,1.408,0.34437302
-,-,1.416,0.35152071
-,-,1.424,0.35735775
-,-,1.432,0.36381065
-,-,1.44,0.36983436
-,-,1.448,0.37431517
-,-,1.456,0.37973202
-,-,1.464,0.38616811
-,-,1.472,0.39253404
-,-,1.48,0.39856907
-,-,1.488,0.40285668
-,-,1.496,0.40908251
-,-,1.504,0.41421147
-,-,1.512,0.41939415
-,-,1.52,0.42376214
-,-,1.528,0.43099604
-,-,1.536,0.43908816
-,-,1.544,0.44704018
-,-,1.552,0.45299934
-,-,1.56,0.45908196
-,-,1.568,0.4582179
-,-,1.576,0.45210358
-,-,1.58,0.3758964
-,-,1.584,0.44506493
-,-,1.588,0.36406798
-,-,1.596,0.4343827
-,-,1.6,0.35365825
-,-,1.604,0.42514814
-,-,1.608,0.37040043
-,-,1.612,0.41674512
-,-,1.616,0.37201078
-,-,1.62,0.33484321
-,-,1.624,0.39778846
-,-,1.632,0.38442573
-,-,1.636,0.33942587
-,-,1.644,0.36135016
-,-,1.652,0.34215584
-,-,1.66,0.31724449
-,-,1.664,0.26208757
-,-,1.672,0.26860988
-,-,1.68,0.23142244
-,-,1.688,0.19044715
-,-,1.692,0.11620148
-,-,1.7,0.12444205
-,-,1.708,0.089538324
-,-,1.712,0.040984249
-,-,1.716,0.06628481
-,-,1.72,0.0045032699
-,-,1.724,0.048473098
-,-,1.728,-0.016365687
-,-,1.732,0.034805286
-,-,1.736,-0.033719242
-,-,1.74,0.029172746
-,-,1.744,-0.0053198326
-,-,1.748,0.024375494
-,-,1.752,-0.037962602
-,-,1.756,0.018525149
-,-,1.76,-0.033745996
-,-,1.764,0.015228242
-,-,1.768,-0.027306402
-,-,1.772,-0.045588036
-,-,1.776,0.012959732
-,-,1.78,-0.021955365
-,-,1.784,-0.032612495
-,-,1.788,0.011316079
-,-,1.792,-0.0414819
-,-,1.796,0.0080158427
-,-,1.798,-0.03978779
-,-,1.799,-0.049813964
-,-,1.7995,0.0070914526
-,-,1.79975,-0.032441476
-,-,1.799875,-0.041373856
-,-,1.7999375,-0.05359995
-,-,1.7999687,0.0083574908
-,-,1.7999844,-0.030153752
-,-,1.7999922,0.0077712261
-,-,1.7999961,-0.055079323
-,-,1.799998,0.0076726106
-,-,1.799999,0.0026037735
-,-,1.7999995,0.0018446468
-,-,1.7999998,0.0079948877
-,-,1.7999999,0.0082159648
-,-,1.7999999,0.0084050793
-,-,1.8,0.0083145167
-,-,1.8,0.0083757792
-,-,1.8,0.0084823229

