Measured X,Measured Y,J_n1432 X,J_n1432 Y
-0.99,0.00010149441,-0.99,1.4441702e-07
-0.98,9.9801461e-05,-0.96027,1.4047132e-07
-0.97,9.8139109e-05,-0.93054,1.3602743e-07
-0.96,9.647391e-05,-0.90081,1.3331725e-07
-0.95,9.4881816e-05,-0.87108,1.2925198e-07
-0.94,9.3272684e-05,-0.84135,1.2805632e-07
-0.93,9.178509e-05,-0.81162,1.2546571e-07
-0.92,9.0239461e-05,-0.78189,1.2421026e-07
-0.91,8.8710246e-05,-0.75216,1.2175914e-07
-0.9,8.7281602e-05,-0.72243,1.2086239e-07
-0.89,8.5819586e-05,-0.6927,1.1876997e-07
-0.88,8.4403246e-05,-0.66297,1.1621922e-07
-0.87,8.3063586e-05,-0.63324,1.1291121e-07
-0.86,8.165825e-05,-0.60351,1.0920464e-07
-0.85,8.0345316e-05,-0.57378,1.0468104e-07
-0.84,7.9018375e-05,-0.54405,9.9838588e-08
-0.83,7.769352e-05,-0.51432,9.4757006e-08
-0.82,7.6478629e-05,-0.48459,8.9775062e-08
-0.81,7.5178645e-05,-0.45486,8.4713407e-08
-0.8,7.3931152e-05,-0.42513,7.9691607e-08
-0.79,7.2687051e-05,-0.3954,7.5526702e-08
-0.78,7.1510371e-05,-0.36567,7.0823746e-08
-0.77,7.0300523e-05,-0.33594,6.6021152e-08
-0.76,6.9140586e-05,-0.30621,6.1278341e-08
-0.75,6.7996418e-05,-0.27648,5.6455819e-08
-0.74,6.6858406e-05,-0.24675,5.231084e-08
-0.73,6.5699566e-05,-0.21702,4.7886872e-08
-0.72,6.4634945e-05,-0.18729,4.3363264e-08
-0.71,6.3549246e-05,-0.15756,3.8401243e-08
-0.7,6.2475801e-05,-0.12783,3.270189e-08
-0.69,6.1441652e-05,-0.0981,2.6484405e-08
-0.68,6.0409352e-05,-0.06837,1.9609281e-08
-0.67,5.9413727e-05,-0.03864,1.2096423e-08
-0.66,5.8372984e-05,-0.00891,3.2283829e-09
