Measured X,Measured Y,EQE_2651 X,EQE_2651 Y
1.795,0.0012360095,1.632,0.068867172
1.8,0.0010103694,1.636,0.067396609
-,-,1.64,0.065883051
-,-,1.644,0.064306578
-,-,1.648,0.062661466
-,-,1.652,0.060945038
-,-,1.656,0.059117398
-,-,1.66,0.057184715
-,-,1.664,0.055119007
-,-,1.668,0.052849332
-,-,1.672,0.050354958
-,-,1.676,0.047529667
-,-,1.68,0.044325117
-,-,1.684,0.040574834
-,-,1.688,0.033529872
-,-,1.692,0.02609684
-,-,1.696,0.020715868
-,-,1.7,0.016210434
-,-,1.704,0.012861512
-,-,1.708,0.0097815052
-,-,1.712,0.0073803851
-,-,1.716,0.0055492403
-,-,1.72,0.0039325934
-,-,1.724,0.0029727929
-,-,1.728,0.002568467
-,-,1.732,0.0022644491
-,-,1.736,0.0020995046
-,-,1.74,0.0020552655
-,-,1.744,0.001993119
-,-,1.748,0.0018536591
-,-,1.752,0.0016343561
-,-,1.756,0.0013674553
-,-,1.76,0.0011446998
-,-,1.764,0.00098788901
-,-,1.768,0.00084740875
-,-,1.772,0.00074455817
-,-,1.776,0.00068848778
-,-,1.78,0.00065056923
-,-,1.784,0.00062189318
-,-,1.788,0.00057220608
-,-,1.792,0.00053292751
-,-,1.796,0.0004997787
-,-,1.8,0.00048490679

