Measured X,Measured Y,EQE_3796 X,EQE_3796 Y
1.005,0.03216417,1,0.86168523
1.01,0.034273229,1.004,0.86095054
1.015,0.030586915,1.008,0.86025028
1.02,0.034744309,1.012,0.85953313
1.025,0.043224606,1.016,0.85880307
1.03,0.046660323,1.02,0.85808984
1.035,0.046918686,1.024,0.85739832
1.04,0.048453817,1.028,0.85673669
1.045,0.049894886,1.032,0.85611515
1.05,0.048045283,1.036,0.85554635
1.055,0.044421709,1.04,0.8550297
1.06,0.046982225,1.044,0.85453718
1.065,0.051877973,1.048,0.85409327
1.07,0.053359962,1.052,0.85367959
1.075,0.052449794,1.056,0.85330799
1.08,0.051245096,1.06,0.85298977
1.085,0.045384097,1.064,0.85272539
1.09,0.046028462,1.068,0.85250197
1.095,0.051106042,1.072,0.85231457
1.1,0.058622406,1.076,0.8521797
1.105,0.059645271,1.08,0.85209515
1.11,0.053589475,1.084,0.85205943
1.115,0.047406287,1.088,0.85207437
1.12,0.051946401,1.092,0.85213201
1.125,0.058988193,1.096,0.85222421
1.13,0.063289892,1.1,0.852354
1.135,0.065604526,1.104,0.85252018
1.14,0.067334017,1.108,0.8527342
1.145,0.068150696,1.112,0.85300177
1.15,0.068737528,1.116,0.85332682
1.155,0.069168621,1.12,0.85370874
1.16,0.069201909,1.124,0.85413882
1.165,0.068957923,1.128,0.85460272
1.17,0.068268901,1.132,0.85510221
1.175,0.064199629,1.136,0.85563644
1.18,0.057939823,1.14,0.85620719
1.185,0.062130468,1.144,0.85682054
1.19,0.067665924,1.148,0.85747443
1.195,0.071345512,1.152,0.85816758
1.2,0.074596814,1.156,0.85889414
1.205,0.076847946,1.16,0.85962784
1.21,0.078983745,1.164,0.86038038
1.215,0.080157741,1.168,0.86114484
1.22,0.08108127,1.172,0.86191831
1.225,0.080944939,1.176,0.86268985
1.23,0.080104608,1.18,0.86348113
1.235,0.081018886,1.184,0.86430569
1.24,0.081264508,1.188,0.86517592
1.245,0.081318705,1.192,0.86607441
1.25,0.08068715,1.196,0.8670088
1.255,0.080276465,1.2,0.86798453
1.26,0.079209881,1.204,0.86899663
1.265,0.073372913,1.208,0.87000139
1.27,0.070949094,1.212,0.87097506
1.275,0.074637712,1.216,0.8719004
1.28,0.075229453,1.22,0.87278625
1.285,0.074925853,1.224,0.87363699
1.29,0.074460103,1.228,0.87445327
1.295,0.074308733,1.232,0.87525331
1.3,0.075047109,1.236,0.8760559
1.305,0.07643247,1.24,0.87685578
1.31,0.077999687,1.244,0.87765951
1.315,0.079498433,1.248,0.87846481
1.32,0.080878516,1.252,0.87924656
1.325,0.082185685,1.256,0.88004109
1.33,0.082749267,1.26,0.88091404
1.335,0.084305719,1.264,0.88183167
1.34,0.085570915,1.268,0.88279497
1.345,0.086352968,1.272,0.88374826
1.35,0.087513506,1.276,0.88472542
1.355,0.087965095,1.28,0.88571235
1.36,0.087923844,1.284,0.88676256
1.365,0.08819617,1.288,0.88784813
1.37,0.086995305,1.292,0.8890087
1.375,0.087466302,1.296,0.89011372
1.38,0.088831986,1.3,0.89112593
1.385,0.089727174,1.304,0.89202129
1.39,0.090436201,1.308,0.89277695
1.395,0.090419695,1.312,0.89328683
1.4,0.090248074,1.316,0.89363044
1.405,0.091045904,1.32,0.89384934
1.41,0.090945935,1.324,0.89388505
1.415,0.090475437,1.328,0.89375176
1.42,0.090350677,1.332,0.89354618
1.425,0.090225915,1.336,0.89327843
1.43,0.090242878,1.34,0.89294028
1.435,0.090380106,1.344,0.89259273
1.44,0.090427594,1.348,0.89233289
1.445,0.09058696,1.352,0.89211141
1.45,0.091084492,1.356,0.89194712
1.455,0.090323479,1.36,0.89170434
1.46,0.090207153,1.364,0.89135836
1.465,0.090720211,1.368,0.89114714
1.47,0.090821609,1.372,0.89102802
1.475,0.090298454,1.376,0.89075757
1.48,0.090086361,1.38,0.89042488
1.485,0.089805753,1.384,0.89037068
1.49,0.089145317,1.388,0.89036314
1.495,0.088722272,1.392,0.89012665
1.5,0.088574815,1.396,0.88981873
1.505,0.088431683,1.4,0.88940721
1.51,0.089493485,1.404,0.88890153
1.515,0.089445396,1.408,0.88849796
1.52,0.08961044,1.412,0.88797049
1.525,0.089679809,1.416,0.88698105
1.53,0.089319607,1.42,0.88582497
1.535,0.089051535,1.424,0.88473207
1.54,0.088939971,1.428,0.8835097
1.545,0.088035972,1.432,0.88141075
1.55,0.087083568,1.436,0.87908814
1.555,0.087126913,1.44,0.87686704
1.56,0.086473424,1.444,0.87455825
1.565,0.085750064,1.448,0.87248062
1.57,0.085290171,1.452,0.87043447
1.575,0.084812047,1.456,0.86829235
1.58,0.083577204,1.46,0.86607892
1.585,0.083778389,1.464,0.86356698
1.59,0.083202066,1.468,0.86076167
1.595,0.082603523,1.472,0.85767983
1.6,0.082040157,1.476,0.85419743
1.605,0.082038131,1.48,0.85047864
1.61,0.080203314,1.484,0.84641192
1.615,0.080383723,1.488,0.84207174
