Measured X,Measured Y,R_2178 X,R_2178 Y
-,-,1,0.089347481
-,-,1.008,0.081025759
-,-,1.016,0.06831532
-,-,1.024,0.054265975
-,-,1.032,0.042452653
-,-,1.04,0.034624133
-,-,1.048,0.030076009
-,-,1.056,0.027555501
-,-,1.064,0.026909643
-,-,1.072,0.029205332
-,-,1.08,0.035586371
-,-,1.088,0.045873528
-,-,1.096,0.057873742
-,-,1.104,0.068334072
-,-,1.112,0.074048363
-,-,1.12,0.073018899
-,-,1.128,0.065979869
-,-,1.136,0.055136993
-,-,1.144,0.043466835
-,-,1.152,0.033760611
-,-,1.16,0.027318876
-,-,1.168,0.023887945
-,-,1.176,0.022004252
-,-,1.184,0.019899326
-,-,1.192,0.016587143
-,-,1.2,0.012272147
-,-,1.208,0.0080857774
-,-,1.216,0.005641188
-,-,1.224,0.0061633062
-,-,1.232,0.0099825208
-,-,1.24,0.016440678
-,-,1.248,0.024109084
-,-,1.256,0.031265852
-,-,1.264,0.03660158
-,-,1.272,0.039265128
-,-,1.28,0.039121757
-,-,1.288,0.036650674
-,-,1.296,0.0324923
-,-,1.304,0.027566538
-,-,1.312,0.022744977
-,-,1.32,0.018496755
-,-,1.328,0.014923902
-,-,1.336,0.01200097
-,-,1.344,0.0096314412
-,-,1.352,0.0080068691
-,-,1.36,0.0057871981
-,-,1.368,0.0036357865
-,-,1.376,0.0017887586
-,-,1.384,0.00052781074
-,-,1.392,3.8353329e-05
-,-,1.4,0.00036366861
-,-,1.408,0.0014430083
-,-,1.416,0.0031187134
-,-,1.424,0.0050787968
-,-,1.432,0.0069229791
-,-,1.44,0.0083344367
-,-,1.448,0.0092706257
-,-,1.456,0.0099010208
-,-,1.464,0.010417581
-,-,1.472,0.010925465
-,-,1.48,0.011520765
-,-,1.488,0.01242664
-,-,1.496,0.013942408
-,-,1.504,0.01623871
-,-,1.512,0.019081577
-,-,1.52,0.021864867
-,-,1.528,0.023935781
-,-,1.536,0.024959468
-,-,1.544,0.024911992
-,-,1.552,0.02399541
-,-,1.56,0.022332956
-,-,1.568,0.019850096
-,-,1.576,0.016478678
-,-,1.58,0.014492432
-,-,1.584,0.012384956
-,-,1.588,0.01022003
-,-,1.596,0.0061621799
-,-,1.6,0.0044644655
-,-,1.604,0.0031186714
-,-,1.608,0.0021627742
-,-,1.612,0.0016417959
-,-,1.616,0.0015524954
-,-,1.62,0.0018734255
-,-,1.624,0.002608542
-,-,1.632,0.0051416912
-,-,1.636,0.0069117227
-,-,1.644,0.011589908
-,-,1.652,0.018221876
-,-,1.66,0.027750191
-,-,1.664,0.033788897
-,-,1.672,0.048821028
-,-,1.68,0.064245707
-,-,1.688,0.072735713
-,-,1.692,0.071527129
-,-,1.7,0.058163743
-,-,1.708,0.039878956
-,-,1.712,0.035322003
-,-,1.716,0.035768395
-,-,1.72,0.040382636
-,-,1.724,0.047028841
-,-,1.728,0.053031609
-,-,1.732,0.056153378
-,-,1.736,0.054640868
-,-,1.74,0.048434291
-,-,1.744,0.038539086
-,-,1.748,0.026908956
-,-,1.752,0.01560602
-,-,1.756,0.0065860371
-,-,1.76,0.0015906176
-,-,1.764,0.0012213358
-,-,1.768,0.0050417627
-,-,1.772,0.011771724
-,-,1.776,0.01963001
-,-,1.78,0.027051446
-,-,1.784,0.032707168
-,-,1.788,0.035862168
-,-,1.792,0.036367165
-,-,1.796,0.034645845
-,-,1.798,0.033260749
-,-,1.799,0.03250212
-,-,1.7995,0.032115197
-,-,1.79975,0.031921054
-,-,1.799875,0.031823975
-,-,1.7999375,0.031775454
-,-,1.7999687,0.031751201
-,-,1.7999844,0.031739076
-,-,1.7999922,0.031733015
-,-,1.7999961,0.031729984
-,-,1.799998,0.031728469
-,-,1.799999,0.031727711
-,-,1.7999995,0.031727332
-,-,1.7999998,0.031727143
-,-,1.7999999,0.031727048
-,-,1.7999999,0.031727001
-,-,1.8,0.031726977
-,-,1.8,0.031726965
-,-,1.8,0.031726959

