Measured X,Measured Y,IQE_3796 X,IQE_3796 Y
1.005,0.036411939,1,0.9088082
1.01,0.037646596,1.004,0.90879896
1.015,0.032822644,1.008,0.90879336
1.02,0.036832598,1.012,0.90877684
1.025,0.045540478,1.016,0.9087584
1.03,0.049220361,1.02,0.90874064
1.035,0.049622132,1.024,0.90872418
1.04,0.051281413,1.028,0.90870795
1.045,0.052704539,1.032,0.90869386
1.05,0.050588896,1.036,0.90868138
1.055,0.046707753,1.04,0.90866956
1.06,0.049496469,1.044,0.90865706
1.065,0.055044803,1.048,0.9086439
1.07,0.057175141,1.052,0.90862938
1.075,0.05668556,1.056,0.90861258
1.08,0.055508741,1.06,0.9085954
1.085,0.048869909,1.064,0.90858166
1.09,0.04926406,1.068,0.90857008
1.095,0.054370233,1.072,0.90855896
1.1,0.062530766,1.076,0.90854944
1.105,0.06434257,1.08,0.90854169
1.11,0.058640605,1.084,0.90853289
1.115,0.052231532,1.088,0.90852453
1.12,0.057342401,1.092,0.90851586
1.125,0.0648613,1.096,0.90850206
1.13,0.068990836,1.1,0.90848362
1.135,0.070795237,1.104,0.90846135
1.14,0.072130058,1.108,0.90843484
1.145,0.072834902,1.112,0.90840648
1.15,0.073730597,1.116,0.90838309
1.155,0.074765367,1.12,0.90837303
1.16,0.075325633,1.124,0.90836928
1.165,0.075132655,1.128,0.9083722
1.17,0.073705949,1.132,0.90837804
1.175,0.068024749,1.136,0.90838565
1.18,0.060544234,1.14,0.90839812
1.185,0.064303489,1.144,0.90841017
1.19,0.069842567,1.148,0.90842101
1.195,0.073907118,1.152,0.90843119
1.2,0.077514273,1.156,0.90844199
1.205,0.079619361,1.16,0.9084111
1.21,0.081090808,1.164,0.90838133
1.215,0.081576869,1.168,0.90835509
1.22,0.082154124,1.172,0.90833336
1.225,0.082157261,1.176,0.90828947
1.23,0.081744283,1.18,0.90824559
1.235,0.083233864,1.184,0.90821059
1.24,0.08414021,1.188,0.90819587
1.245,0.084895595,1.192,0.90816619
1.25,0.084932522,1.196,0.90813877
1.255,0.085308642,1.2,0.90813737
1.26,0.085172398,1.204,0.90817504
1.265,0.080115157,1.208,0.908203
1.27,0.078277634,1.212,0.90819784
1.275,0.083642661,1.216,0.90814152
1.28,0.085686125,1.22,0.9080529
1.285,0.086358636,1.224,0.90793282
1.29,0.08619312,1.228,0.90776969
1.295,0.085728938,1.232,0.90757837
1.3,0.085654693,1.236,0.90737503
1.305,0.08603675,1.24,0.90714805
1.31,0.086424551,1.244,0.90690908
1.315,0.086677726,1.248,0.9066633
1.32,0.086960397,1.252,0.90638819
1.325,0.087309132,1.256,0.90614338
1.33,0.08695266,1.26,0.90602153
1.335,0.087680318,1.264,0.90597862
1.34,0.088193907,1.268,0.90601149
1.345,0.088318589,1.272,0.90604197
1.35,0.088948195,1.276,0.9061038
1.355,0.089032859,1.28,0.90617121
1.36,0.08878074,1.284,0.90630287
1.365,0.088969623,1.288,0.90646394
1.37,0.087783171,1.292,0.90670979
1.375,0.08829052,1.296,0.90689737
1.38,0.089775923,1.3,0.90699859
1.385,0.09076013,1.304,0.90700278
1.39,0.091452384,1.308,0.90689807
1.395,0.091380813,1.312,0.90656743
1.4,0.091128585,1.316,0.90611553
1.405,0.091853551,1.32,0.90558765
1.41,0.091718436,1.324,0.90490706
1.415,0.09124281,1.328,0.90407948
1.42,0.091075609,1.332,0.90319842
1.425,0.090955779,1.336,0.90226195
1.43,0.090991453,1.34,0.9012538
1.435,0.09116903,1.344,0.9002365
1.44,0.091247537,1.348,0.8993152
1.445,0.091415169,1.352,0.89844594
1.45,0.091912789,1.356,0.89765963
1.455,0.091113667,1.36,0.89682528
1.46,0.090964132,1.364,0.89592708
1.465,0.09154211,1.368,0.89521989
1.47,0.091804552,1.372,0.8946595
1.475,0.091538802,1.376,0.89399032
1.48,0.091489796,1.38,0.89329879
1.485,0.091499873,1.384,0.89292355
1.49,0.091176927,1.388,0.89261542
1.495,0.090992529,1.392,0.89208697
1.5,0.090965709,1.396,0.89149455
1.505,0.090778622,1.4,0.89080491
1.51,0.091678682,1.404,0.89003063
1.515,0.091343191,1.408,0.8893757
1.52,0.091153286,1.412,0.88862009
1.525,0.090866883,1.416,0.88743103
1.53,0.090231352,1.42,0.88611215
1.535,0.089815588,1.424,0.88489762
1.54,0.089704532,1.428,0.8835926
1.545,0.088831915,1.432,0.8814446
1.55,0.087932224,1.436,0.87910371
1.555,0.088176728,1.44,0.87688695
1.56,0.087803886,1.444,0.8745972
1.565,0.087383995,1.448,0.87254704
1.57,0.087290547,1.452,0.87053525
1.575,0.0871908,1.456,0.86843699
1.58,0.086238653,1.46,0.8662829
1.585,0.086717617,1.464,0.86385488
1.59,0.086241806,1.468,0.86116801
1.595,0.085495127,1.472,0.85824902
1.6,0.084742922,1.476,0.85498177
1.605,0.084526287,1.48,0.85153494
1.61,0.082407419,1.484,0.84779554
1.615,0.082251848,1.488,0.843832
1.62,0.0821853,1.492,0.83946041
1.625,0.080405514,1.496,0.83479511
1.63,0.080161347,1.5,0.82897211
1.635,0.07832687,1.504,0.82242415
1.64,0.07659669,1.508,0.81421654
1.645,0.075176698,1.512,0.80406005
1.65,0.072468236,1.516,0.79303306
1.655,0.068866985,1.52,0.7817661
1.66,0.064917935,1.524,0.76946305
1.665,0.060533595,1.528,0.754189
1.67,0.055677795,1.532,0.73711296
1.675,0.047066372,1.536,0.7159383
1.68,0.042408291,1.54,0.69004741
1.685,0.039471475,1.544,0.66098317
1.69,0.035743092,1.548,0.62480412
1.695,0.030715144,1.552,0.58336474
1.7,0.026836517,1.556,0.53866272
1.705,0.022207248,1.56,0.49779502
1.71,0.018888231,1.564,0.4529751
1.715,0.015371432,1.568,0.40665253
1.72,0.013977217,1.572,0.35934188
1.725,0.010456909,1.576,0.30798684
1.73,0.0086113424,1.58,0.26668532
1.735,0.0080387338,1.584,0.22799015
1.74,0.0066270289,1.588,0.18745914
