Measured X,Measured Y,EQE_2178 X,EQE_2178 Y
1.12,0.1384587,1,0.076705827
1.14,0.18479675,1.008,0.0722792
1.16,0.20434144,1.016,0.084200932
1.18,0.18200924,1.024,0.090605306
1.2,0.2290171,1.032,0.095534332
1.22,0.25687407,1.04,0.1013233
1.24,0.27420299,1.048,0.10640561
1.26,0.27320965,1.056,0.11018651
1.28,0.28161623,1.064,0.11604512
1.3,0.30224431,1.072,0.12096584
1.32,0.31487326,1.08,0.12654085
1.34,0.32736531,1.088,0.1295067
1.36,0.3390364,1.096,0.13234646
1.38,0.34571084,1.104,0.13766456
1.4,0.37199478,1.112,0.14369454
1.42,0.36188907,1.12,0.14870249
1.44,0.38040032,1.128,0.15480647
1.46,0.39843016,1.136,0.1640192
1.48,0.38093136,1.144,0.17266064
1.5,0.41471418,1.152,0.17944082
1.52,0.42662574,1.16,0.18730957
1.54,0.4276422,1.168,0.19500392
1.56,0.42898445,1.176,0.20253353
1.58,0.430087,1.184,0.20753354
1.6,0.43778274,1.192,0.21132685
1.62,0.44528544,1.2,0.21761398
1.64,0.44999,1.208,0.223819
1.66,0.43731848,1.216,0.22850069
1.68,0.34965764,1.224,0.2321312
1.7,0.17999268,1.232,0.23609357
1.72,0.069124475,1.24,0.23604483
1.74,0.026780418,1.248,0.24091827
1.76,0.0097890471,1.256,0.24336565
1.78,0.0040455865,1.264,0.2477435
1.8,0.00178801,1.272,0.25129746
-,-,1.28,0.25394682
-,-,1.288,0.25802903
-,-,1.296,0.26437652
-,-,1.304,0.27102132
-,-,1.312,0.27615748
-,-,1.32,0.28132377
-,-,1.328,0.28815286
-,-,1.336,0.29526559
-,-,1.344,0.30015856
-,-,1.352,0.30547787
-,-,1.36,0.31345081
-,-,1.368,0.32077106
-,-,1.376,0.32424125
-,-,1.384,0.32838167
-,-,1.392,0.3322198
-,-,1.4,0.33937942
-,-,1.408,0.34387608
-,-,1.416,0.35042442
-,-,1.424,0.35554281
-,-,1.432,0.36129199
-,-,1.44,0.366752
-,-,1.448,0.37084504
-,-,1.456,0.37597228
-,-,1.464,0.38214517
-,-,1.472,0.38824543
-,-,1.48,0.39397725
-,-,1.488,0.39785052
-,-,1.496,0.40337892
-,-,1.504,0.40748521
-,-,1.512,0.41139144
-,-,1.52,0.41449664
-,-,1.528,0.42067981
-,-,1.536,0.42812876
-,-,1.544,0.43590352
-,-,1.552,0.44212943
-,-,1.56,0.4488293
-,-,1.568,0.44912224
-,-,1.576,0.44465351
-,-,1.58,0.37044875
-,-,1.584,0.43955282
-,-,1.588,0.36034719
-,-,1.596,0.43170595
-,-,1.6,0.35207935
-,-,1.604,0.42382224
-,-,1.608,0.36959933
-,-,1.612,0.4160609
-,-,1.616,0.37143323
-,-,1.62,0.33421591
-,-,1.624,0.39675081
-,-,1.632,0.38244913
-,-,1.636,0.33707985
-,-,1.644,0.35716215
-,-,1.652,0.33592112
-,-,1.66,0.3084409
-,-,1.664,0.25323192
-,-,1.672,0.25549607
-,-,1.68,0.21655454
-,-,1.688,0.17659484
-,-,1.692,0.10788992
-,-,1.7,0.11720404
-,-,1.708,0.085967629
-,-,1.712,0.039536603
-,-,1.716,0.063913909
-,-,1.72,0.004321416
-,-,1.724,0.046193465
-,-,1.728,-0.015497788
-,-,1.732,0.032850851
-,-,1.736,-0.031876794
-,-,1.74,0.027759784
-,-,1.744,-0.0051148111
-,-,1.748,0.023719575
-,-,1.752,-0.037370157
-,-,1.756,0.018403142
-,-,1.76,-0.033692319
-,-,1.764,0.015209644
-,-,1.768,-0.027168729
-,-,1.772,-0.045051386
-,-,1.776,0.012705333
-,-,1.78,-0.02136144
-,-,1.784,-0.031545833
-,-,1.788,0.01091026
-,-,1.792,-0.039973321
-,-,1.796,0.0077381271
-,-,1.798,-0.038464418
-,-,1.799,-0.048194904
-,-,1.7995,0.0068637092
-,-,1.79975,-0.03140591
-,-,1.799875,-0.040057175
-,-,1.7999375,-0.051896787
-,-,1.7999687,0.0080921304
-,-,1.7999844,-0.0291967
-,-,1.7999922,0.0075246217
-,-,1.7999961,-0.053331657
-,-,1.799998,0.0074291704
-,-,1.799999,0.0025211617
-,-,1.7999995,0.0017861211
-,-,1.7999998,0.0077412328
-,-,1.7999999,0.0079552965
-,-,1.7999999,0.0081384113
-,-,1.8,0.0080507223
-,-,1.8,0.0081100412
-,-,1.8,0.0082132046

