Measured X,Measured Y,R_1718 X,R_1718 Y
1.005,0.098555881,1,0.089347481
1.01,0.089643419,1.008,0.081025759
1.015,0.082115052,1.016,0.06831532
1.02,0.077688515,1.024,0.054265975
1.025,0.070694343,1.032,0.042452653
1.03,0.06469425,1.04,0.034624133
1.035,0.061089499,1.048,0.030076009
1.04,0.059836735,1.056,0.027555501
1.045,0.059570301,1.064,0.026909643
1.05,0.060442753,1.072,0.029205332
1.055,0.062400127,1.08,0.035586371
1.06,0.066064819,1.088,0.045873528
1.065,0.069520557,1.096,0.057873742
1.07,0.073041463,1.104,0.068334072
1.075,0.077368824,1.112,0.074048363
1.08,0.082347354,1.12,0.073018899
1.085,0.087168545,1.128,0.065979869
1.09,0.093187934,1.136,0.055136993
1.095,0.098018125,1.144,0.043466835
1.1,0.10379988,1.152,0.033760611
1.105,0.10562536,1.16,0.027318876
1.11,0.10601873,1.168,0.023887945
1.115,0.10673296,1.176,0.022004252
1.12,0.10799139,1.184,0.019899326
1.125,0.10415632,1.192,0.016587143
1.13,0.097947884,1.2,0.012272147
1.135,0.090685668,1.208,0.0080857774
1.14,0.08390719,1.216,0.005641188
1.145,0.07628411,1.224,0.0061633062
1.15,0.069836968,1.232,0.0099825208
1.155,0.064521304,1.24,0.016440678
1.16,0.059733299,1.248,0.024109084
1.165,0.055726206,1.256,0.031265852
1.17,0.053531983,1.264,0.03660158
1.175,0.049390434,1.272,0.039265128
1.18,0.049705101,1.28,0.039121757
1.185,0.053503398,1.288,0.036650674
1.19,0.051555553,1.296,0.0324923
1.195,0.05056384,1.304,0.027566538
1.2,0.048808426,1.312,0.022744977
1.205,0.04679231,1.32,0.018496755
1.21,0.045524274,1.328,0.014923902
1.215,0.044955211,1.336,0.01200097
1.22,0.045469404,1.344,0.0096314412
1.225,0.045999549,1.352,0.0080068691
1.23,0.048761815,1.36,0.0057871981
1.235,0.053691442,1.368,0.0036357865
1.24,0.056585127,1.376,0.0017887586
1.245,0.060328285,1.384,0.00052781074
1.25,0.063793201,1.392,3.8353329e-05
1.255,0.067495702,1.4,0.00036366861
1.26,0.0696225,1.408,0.0014430083
1.265,0.067560425,1.416,0.0031187134
1.27,0.077797983,1.424,0.0050787968
1.275,0.084081339,1.432,0.0069229791
1.28,0.080399518,1.44,0.0083344367
1.285,0.078124143,1.448,0.0092706257
1.29,0.076183356,1.456,0.0099010208
1.295,0.074208204,1.464,0.010417581
1.3,0.071561796,1.472,0.010925465
1.305,0.06908107,1.48,0.011520765
1.31,0.066426495,1.488,0.01242664
1.315,0.064244626,1.496,0.013942408
1.32,0.061921025,1.504,0.01623871
1.325,0.059753084,1.512,0.019081577
1.33,0.057611133,1.52,0.021864867
1.335,0.055380314,1.528,0.023935781
1.34,0.053538507,1.536,0.024959468
1.345,0.052104687,1.544,0.024911992
1.35,0.050736058,1.552,0.02399541
1.355,0.049013337,1.56,0.022332956
1.36,0.046970213,1.568,0.019850096
1.365,0.043304207,1.576,0.016478678
1.37,0.03599381,1.584,0.012384956
1.375,0.051504452,1.592,0.008114492
1.38,0.054158358,1.6,0.0044644655
1.385,0.048049368,1.608,0.0021627742
1.39,0.042162713,1.616,0.0015524954
1.395,0.041207777,1.624,0.002608542
1.4,0.04031907,1.632,0.0051416912
1.405,0.0397663,1.64,0.0090424983
1.41,0.040067399,1.648,0.014623612
1.415,0.036634223,1.656,0.022577089
1.42,0.038772064,1.664,0.033788897
1.425,0.045035184,1.672,0.048821028
1.43,0.048176355,1.68,0.064245707
1.435,0.051375994,1.688,0.072735713
1.44,0.0480715,1.696,0.066625478
1.445,0.052002631,1.704,0.048280725
1.45,0.05260606,1.712,0.035322003
1.455,0.051403177,1.72,0.040382636
1.46,0.050242582,1.728,0.053031609
1.465,0.049080513,1.736,0.054640868
1.47,0.045398261,1.744,0.038539086
1.475,0.034087897,1.752,0.01560602
1.48,0.053357618,1.76,0.0015906176
1.485,0.067971635,1.768,0.0050417627
1.49,0.06224194,1.776,0.01963001
1.495,0.056883943,1.784,0.032707168
1.5,0.054414731,1.792,0.036367165
1.505,0.055442775,1.8,0.031726953
1.51,0.057943413,-,-
1.515,0.059207654,-,-
1.52,0.059722587,-,-
1.525,0.060198769,-,-
1.53,0.061088953,-,-
1.535,0.06255728,-,-
1.54,0.060858997,-,-
1.545,0.051593567,-,-
1.55,0.071810322,-,-
1.555,0.079257139,-,-
1.56,0.075210777,-,-
1.565,0.073072655,-,-
1.57,0.072909124,-,-
1.575,0.073486573,-,-
1.58,0.07419676,-,-
1.585,0.075499462,-,-
1.59,0.07523014,-,-
1.595,0.075416858,-,-
1.6,0.075649137,-,-
1.605,0.073170063,-,-
1.61,0.073687519,-,-
1.615,0.088996992,-,-
1.62,0.086944773,-,-
1.625,0.085592434,-,-
1.63,0.088500702,-,-
1.635,0.088412947,-,-
1.64,0.091274149,-,-
1.645,0.092453434,-,-
1.65,0.095560666,-,-
1.655,0.097224337,-,-
1.66,0.098519505,-,-
1.665,0.10174708,-,-
1.67,0.10390755,-,-
1.675,0.096850021,-,-
1.68,0.11875478,-,-
1.685,0.12500049,-,-
1.69,0.12649798,-,-
1.695,0.11758322,-,-
1.7,0.1103267,-,-
1.705,0.10123101,-,-
1.71,0.096943204,-,-
1.715,0.096395165,-,-
1.72,0.099056889,-,-
1.725,0.10321339,-,-
1.73,0.1019513,-,-
1.735,0.11051169,-,-
1.74,0.11645544,-,-
1.745,0.10534762,-,-
1.75,0.10299956,-,-
1.755,0.10425281,-,-
1.76,0.10160677,-,-
1.765,0.10850467,-,-
1.77,0.11313246,-,-
1.775,0.12021031,-,-
1.78,0.12435426,-,-
1.785,0.12011678,-,-
1.79,0.12915856,-,-
1.795,0.12341233,-,-
1.8,0.12400882,-,-

