Measured X,Measured Y,J  X,J  Y,Jph1 X,Jph1 Y,Jph2 X,Jph2 Y,Jph3 X,Jph3 Y,Jph4 X,Jph4 Y,Jph5 X,Jph5 Y,Jph6 X,Jph6 Y,Jph7 X,Jph7 Y,Jph8 X,Jph8 Y,Jph9 X,Jph9 Y,Jph10 X,Jph10 Y
2.6,0.072080766,4.0492706,0.07293947,2.6,0.073004677,2.6,0.10002653,2.6,0.11608278,2.6,0.13086936,2.6,0.14862199,2.6,0.15570238,2.6,0.16489191,2.6,0.17594768,2.6,0.19620109,2.6,0.23678769
2.7,0.072016828,4.0992706,0.072938455,2.7,0.073004677,2.7,0.10002653,2.7,0.11608278,2.7,0.13086936,2.7,0.14862199,2.7,0.15570238,2.7,0.16489191,2.7,0.17594768,2.7,0.19620109,2.7,0.23678769
2.8,0.072086172,4.1492706,0.07293726,2.8,0.073004677,2.8,0.10002653,2.8,0.11608278,2.8,0.13086936,2.8,0.14862199,2.8,0.15570238,2.8,0.16489191,2.8,0.17594768,2.8,0.19620109,2.8,0.23678769
2.9,0.072102891,4.1992706,0.072935571,2.9,0.073004677,2.9,0.10002653,2.9,0.11608278,2.9,0.13086936,2.9,0.14862199,2.9,0.15570238,2.9,0.16489191,2.9,0.17594768,2.9,0.19620109,2.9,0.23678769
3,0.071962922,4.2492706,0.072932329,3,0.073004677,3,0.10002653,3,0.11608278,3,0.13086936,3,0.14862199,3,0.15570238,3,0.16489191,3,0.17594768,3,0.19620109,3,0.23678769
3.1,0.071985969,4.2992707,0.072924274,3.1,0.073004677,3.1,0.10002653,3.1,0.11608278,3.1,0.13086936,3.1,0.14862199,3.1,0.15570238,3.1,0.16489191,3.1,0.17594768,3.1,0.19620109,3.1,0.23678769
3.2,0.072029016,4.3492709,0.072901126,3.2,0.073004677,3.2,0.10002653,3.2,0.11608278,3.2,0.13086936,3.2,0.14862199,3.2,0.15570238,3.2,0.16489191,3.2,0.17594768,3.2,0.19620109,3.2,0.23678769
3.3,0.071964359,4.3992717,0.07282686,3.3,0.073004677,3.3,0.10002653,3.3,0.11608278,3.3,0.13086936,3.3,0.14862199,3.3,0.15570238,3.3,0.16489191,3.3,0.17594768,3.3,0.19620109,3.3,0.23678769
3.4,0.072251641,4.4492744,0.072559158,3.4,0.073004677,3.4,0.10002653,3.4,0.11608278,3.4,0.13086936,3.4,0.14862199,3.4,0.15570238,3.4,0.16489191,3.4,0.17594768,3.4,0.19620109,3.4,0.23678769
3.5,0.071962141,4.4992844,0.071557131,3.5,0.073004677,3.5,0.10002653,3.5,0.11608278,3.5,0.13086936,3.5,0.14862199,3.5,0.15570238,3.5,0.16489191,3.5,0.17594768,3.5,0.19620109,3.5,0.23678769
3.6,0.072160422,4.549314,0.068594063,3.6,0.073004677,3.6,0.10002653,3.6,0.11608278,3.6,0.13086936,3.6,0.14862199,3.6,0.15570238,3.6,0.16489191,3.6,0.17594768,3.6,0.19620109,3.6,0.23678769
3.7,0.071722406,4.5993719,0.062807771,3.7,0.073004677,3.7,0.10002653,3.7,0.11608278,3.7,0.13086936,3.7,0.14862199,3.7,0.15570238,3.7,0.16489191,3.7,0.17594768,3.7,0.19620109,3.7,0.23678769
3.8,0.071943094,4.6494574,0.054253577,3.8,0.073004677,3.8,0.10002653,3.8,0.11608278,3.8,0.13086936,3.8,0.14862199,3.8,0.15570238,3.8,0.16489191,3.8,0.17594768,3.8,0.19620109,3.8,0.23678769
3.9,0.071999547,4.6995697,0.043022213,3.9,0.073004677,3.9,0.10002653,3.9,0.11608278,3.9,0.13086936,3.9,0.14862199,3.9,0.15570238,3.9,0.16489191,3.9,0.17594768,3.9,0.19620109,3.9,0.23678769
4,0.072039063,4.7497102,0.028976591,4,0.073004677,4,0.10002653,4,0.11608278,4,0.13086936,4,0.14862199,4,0.15570238,4,0.16489191,4,0.17594768,4,0.19620109,4,0.23678769
4.1,0.072165312,4.7998819,0.011807161,4.1,0.073004677,4.1,0.10002653,4.1,0.11608278,4.1,0.13086936,4.1,0.14862199,4.1,0.15570238,4.1,0.16489191,4.1,0.17594768,4.1,0.19620109,4.1,0.23678769
4.2,0.071706797,4.8500892,-0.0089260797,4.2,0.073004677,4.2,0.10002653,4.2,0.11608278,4.2,0.13086936,4.2,0.14862199,4.2,0.15570238,4.2,0.16489191,4.2,0.17594768,4.2,0.19620109,4.2,0.23678769
