Measured X,Measured Y,R_3796 X,R_3796 Y
1.005,0.11665869,1,0.051851384
1.01,0.089606168,1.004,0.052650164
1.015,0.068115425,1.008,0.053414879
1.02,0.056696772,1.012,0.054186796
1.025,0.05085304,1.016,0.05497097
1.03,0.052011764,1.02,0.055737356
1.035,0.054480656,1.024,0.056481232
1.04,0.055138802,1.028,0.057192481
1.045,0.053309514,1.032,0.057861848
1.05,0.050280075,1.036,0.058474881
1.055,0.048943579,1.04,0.059031208
1.06,0.050796425,1.044,0.059560292
1.065,0.057531867,1.048,0.060035215
1.07,0.066727933,1.052,0.060475474
1.075,0.074723909,1.056,0.060867073
1.08,0.076810334,1.06,0.061199553
1.085,0.071328388,1.064,0.061476336
1.09,0.065678672,1.068,0.061710276
1.095,0.060036365,1.072,0.061905055
1.1,0.062502996,1.076,0.06204367
1.105,0.073004528,1.08,0.06212872
1.11,0.08613707,1.084,0.062158957
1.115,0.092381847,1.088,0.062133892
1.12,0.094101387,1.092,0.062061488
1.125,0.090548708,1.096,0.06194576
1.13,0.082633356,1.1,0.061783849
1.135,0.073320064,1.104,0.061577929
1.14,0.066491579,1.108,0.061314947
1.145,0.064312658,1.112,0.060991096
1.15,0.067720436,1.116,0.060609083
1.155,0.074857475,1.12,0.060178243
1.16,0.081296675,1.124,0.059700897
1.165,0.0821844,1.128,0.059193228
1.17,0.073766748,1.132,0.058649398
1.175,0.056231291,1.136,0.05806918
1.18,0.043016671,1.14,0.057453807
1.185,0.033793206,1.144,0.056791119
1.19,0.031164993,1.148,0.056082569
1.195,0.034659807,1.152,0.055330123
1.2,0.0376377,1.156,0.054541569
1.205,0.034808305,1.16,0.053701743
1.21,0.025983994,1.164,0.052842287
1.215,0.017396204,1.168,0.051973341
1.22,0.013059043,1.172,0.051099138
1.225,0.014756114,1.176,0.050203845
1.23,0.020058581,1.18,0.049286743
1.235,0.026611505,1.184,0.048342206
1.24,0.034177498,1.188,0.047368581
1.245,0.042132812,1.192,0.046348107
