Measured X,Measured Y,R_2651 X,R_2651 Y
1.005,0.11665869,1,0.10183258
1.01,0.089606168,1.004,0.09307489
1.015,0.068115425,1.008,0.082076798
1.02,0.056696772,1.012,0.072559513
1.025,0.05085304,1.016,0.066614603
1.03,0.052011764,1.02,0.064140289
1.035,0.054480656,1.024,0.063937167
1.04,0.055138802,1.028,0.064446508
1.045,0.053309514,1.032,0.064011151
1.05,0.050280075,1.036,0.060845344
1.055,0.048943579,1.04,0.05393292
1.06,0.050796425,1.044,0.043815333
1.065,0.057531867,1.048,0.03223141
1.07,0.066727933,1.052,0.021757212
1.075,0.074723909,1.056,0.0153396
1.08,0.076810334,1.06,0.015479094
1.085,0.071328388,1.064,0.023178231
1.09,0.065678672,1.068,0.036186395
1.095,0.060036365,1.072,0.049077715
1.1,0.062502996,1.076,0.055991364
1.105,0.073004528,1.08,0.053587995
1.11,0.08613707,1.084,0.043253362
1.115,0.092381847,1.088,0.030160208
1.12,0.094101387,1.092,0.020913332
1.125,0.090548708,1.096,0.019598946
1.13,0.082633356,1.1,0.02642088
1.135,0.073320064,1.104,0.038417004
1.14,0.066491579,1.108,0.051825459
1.145,0.064312658,1.112,0.063477516
1.15,0.067720436,1.116,0.07122436
1.155,0.074857475,1.12,0.073864861
1.16,0.081296675,1.124,0.071189958
1.165,0.0821844,1.128,0.063772701
1.17,0.073766748,1.132,0.053539035
1.175,0.056231291,1.136,0.04362999
1.18,0.043016671,1.14,0.037620956
1.185,0.033793206,1.144,0.038858627
1.19,0.031164993,1.148,0.048304397
1.195,0.034659807,1.152,0.063425618
1.2,0.0376377,1.156,0.079187282
1.205,0.034808305,1.16,0.089620787
1.21,0.025983994,1.164,0.090638731
1.215,0.017396204,1.168,0.081100537
1.22,0.013059043,1.172,0.063409191
1.225,0.014756114,1.176,0.043239182
1.23,0.020058581,1.18,0.027637291
1.235,0.026611505,1.184,0.021195714
1.24,0.034177498,1.188,0.023895951
1.245,0.042132812,1.192,0.031378548
1.25,0.049985226,1.196,0.038136085
1.255,0.05898789,1.2,0.040143235
1.26,0.070005275,1.204,0.036308597
1.265,0.084156911,1.208,0.028301448
1.27,0.093622398,1.212,0.018934912
1.275,0.10765976,1.216,0.010802799
