Measured X,Measured Y,J  X,J  Y
-0.04,0.10998444,0,0.11150701
-0.03,0.11039577,0.06,0.11150712
-0.02,0.11000833,0.156,0.11150634
-0.01,0.11039069,0.3224,0.11150581
0,0.11004011,0.58864,0.11150288
0.01,0.11038647,0.6,0.11150217
0.02,0.11031341,0.61,0.11150129
0.03,0.11001702,0.62,0.11150007
0.04,0.11003002,0.63,0.11149835
0.05,0.11005733,0.64,0.11149593
0.06,0.11006478,0.65,0.11149247
0.07,0.1100222,0.66,0.11148752
0.08,0.11002255,0.67,0.1114804
0.09,0.11004758,0.68,0.11147011
0.1,0.11003423,0.69,0.11145521
0.11,0.11004556,0.7,0.11143357
0.12,0.11001781,0.71,0.11140212
0.13,0.11007655,0.72,0.11135635
0.14,0.11001194,0.73,0.11128991
0.15,0.11002781,0.74,0.1111932
0.16,0.11004003,0.75,0.11105299
0.17,0.11042503,0.76,0.11085052
0.18,0.11006356,0.77,0.11055991
0.19,0.11000069,0.78,0.11014639
0.2,0.11003792,0.79,0.1095646
0.21,0.11006014,0.8,0.10875765
0.22,0.11006181,0.81,0.10765689
0.23,0.11007367,0.82,0.10618247
0.24,0.11046331,0.83,0.10424378
0.25,0.11006006,0.84,0.10173885
0.26,0.11006417,0.85,0.098552018
0.27,0.11010616,0.86,0.094549673
0.28,0.11009219,0.87,0.08957466
0.29,0.11005459,0.88,0.083439706
0.3,0.11007752,0.89,0.075920203
0.31,0.11000805,0.9,0.066746405
0.32,0.1100395,0.91,0.055594945
0.33,0.11001034,0.92,0.04207963
0.34,0.11001464,0.93,0.025741458
0.35,0.10998936,0.94,0.0060379969
0.36,0.11009097,0.95,-0.017667672
0.37,0.11002861,-,-
0.38,0.1099783,-,-
0.39,0.11004873,-,-
0.4,0.11005953,-,-
0.41,0.11004853,-,-
0.42,0.1100748,-,-
0.43,0.11002281,-,-
0.44,0.11005425,-,-
0.45,0.11005337,-,-
0.46,0.11006462,-,-
0.47,0.11007883,-,-
0.48,0.11005811,-,-
0.49,0.10997891,-,-
0.5,0.11003845,-,-
0.51,0.11002589,-,-
0.52,0.11001439,-,-
0.53,0.10997619,-,-
0.54,0.10997277,-,-
0.55,0.1098983,-,-
0.56,0.10994545,-,-
0.57,0.10987387,-,-
0.58,0.10980994,-,-
0.59,0.10972519,-,-
0.6,0.10953964,-,-
0.61,0.10936875,-,-
0.62,0.10909292,-,-
0.63,0.10885869,-,-
0.64,0.10877148,-,-
0.65,0.10772794,-,-
0.66,0.1073268,-,-
0.67,0.10590388,-,-
0.68,0.10454005,-,-
0.69,0.10283398,-,-
0.7,0.1007723,-,-
0.71,0.098569703,-,-
0.72,0.095522141,-,-
0.73,0.091957984,-,-
0.74,0.087415609,-,-
0.75,0.082561016,-,-
0.76,0.076953531,-,-
0.77,0.070616969,-,-
0.78,0.063360453,-,-
0.79,0.055606859,-,-
0.8,0.046398578,-,-
0.81,0.036577172,-,-
0.82,0.026379016,-,-
0.83,0.014872158,-,-
0.84,0.0037517563,-,-
0.85,-0.0080333031,-,-
0.86,-0.018749578,-,-
0.87,-0.029671484,-,-
0.88,-0.039749016,-,-
0.89,-0.049894328,-,-
0.9,-0.060833703,-,-
0.91,-0.073080406,-,-
0.92,-0.088218437,-,-
0.93,-0.10681631,-,-
0.94,-0.12893247,-,-
0.95,-0.15516144,-,-
0.96,-0.18621937,-,-
0.97,-0.22261516,-,-
0.98,-0.26488766,-,-
0.99,-0.31496797,-,-
1,-0.37270094,-,-
1.01,-0.43945172,-,-
1.02,-0.51637656,-,-
1.03,-0.60632078,-,-
1.04,-0.70778062,-,-
1.05,-0.82680438,-,-
1.06,-0.96189297,-,-
1.07,-1.1155308,-,-
1.08,-1.2892352,-,-
1.09,-1.4851966,-,-
1.1,-1.5625094,-,-
1.11,-1.56255,-,-
1.12,-1.5622161,-,-
1.13,-1.5625672,-,-
1.14,-1.5625562,-,-
1.15,-1.5625281,-,-
1.16,-1.5625484,-,-
1.17,-1.5625516,-,-
1.18,-1.5625547,-,-
1.19,-1.5621686,-,-
1.2,-1.5625328,-,-
1.21,-1.5621777,-,-
1.22,-1.5625328,-,-
1.23,-1.5625438,-,-
1.24,-1.5621736,-,-
1.25,-1.562203,-,-
1.26,-1.56217,-,-
1.27,-1.5625594,-,-
1.28,-1.5621723,-,-
1.29,-1.5625016,-,-

