Measured X,Measured Y,J_n2185 X,J_n2185 Y
-5.95,0.00012296928,0,-1.8009266e-07
-5.9,0.00012132795,0.0396,-3.3965407e-07
-5.85,0.00011927801,0.0792,-4.1000113e-07
-5.8,0.00011722273,0.1188,-5.5829822e-07
-5.75,0.00011507127,0.1584,-7.8949067e-07
-5.7,0.00011291185,0.198,-1.0714275e-06
-5.65,0.00010997598,0.2376,-1.3324973e-06
-5.6,0.00010805255,0.2772,-1.6316652e-06
-5.55,0.00010531704,0.3168,-2.1137035e-06
-5.5,0.00010270945,0.3564,-4.1906041e-06
-5.45,0.00010081501,0.396,-5.9489208e-06
-5.4,9.8314172e-05,0.4356,-1.1261354e-05
-5.35,9.5950437e-05,0.4752,-2.0388858e-05
-5.3,9.4182578e-05,0.5148,-4.0978666e-05
-5.25,9.2276273e-05,0.5544,-8.3932125e-05
-5.2,8.9688461e-05,0.594,-0.00017455234
-5.15,8.7210023e-05,0.6336,-0.00036715203
-5.1,8.5173242e-05,0.6732,-0.0007785234
-5.05,8.2800258e-05,0.7128,-0.0016600438
-5,8.0578922e-05,0.7524,-0.0035528983
-4.95,7.8513125e-05,0.792,-0.0076210525
-4.9,7.6531695e-05,0.8316,-0.016360018
-4.85,7.438282e-05,0.8712,-0.035080124
-4.8,7.209557e-05,0.9108,-0.07489629
-4.75,7.0259141e-05,0.9504,-0.1582997
-4.7,6.8397695e-05,0.99,-0.32780471
-4.65,6.6548102e-05,1.0296,-0.65420167
-4.6,6.4763102e-05,1.0692,-1.2321591
-4.55,6.2793547e-05,1.1088,-2.1500632
-4.5,6.1125875e-05,1.1484,-3.4496695
-4.45,5.9336914e-05,1.188,-5.1150311
-4.4,5.7749664e-05,1.2276,-7.0956314
-4.35,5.5856555e-05,1.2672,-9.3335973
-4.3,5.4254828e-05,1.3068,-11.777878
-4.25,5.2969469e-05,1.32,-12.631171
-4.2,5.1336062e-05,-,-
-4.15,4.9839789e-05,-,-
-4.1,4.8455562e-05,-,-
-4.05,4.6835352e-05,-,-
-4,4.5465625e-05,-,-
-3.95,4.4000969e-05,-,-
-3.9,4.274593e-05,-,-
-3.85,4.1384117e-05,-,-
-3.8,4.0279375e-05,-,-
-3.75,3.8958422e-05,-,-
-3.7,3.7795656e-05,-,-
-3.65,3.6627641e-05,-,-
-3.6,3.5532109e-05,-,-
-3.55,3.4410234e-05,-,-
-3.5,3.3235625e-05,-,-
-3.45,3.2140729e-05,-,-
-3.4,3.1252089e-05,-,-
-3.35,3.0222276e-05,-,-
-3.3,2.9283047e-05,-,-
-3.25,2.8350953e-05,-,-
-3.2,2.7422667e-05,-,-
-3.15,2.6534062e-05,-,-
-3.1,2.5697245e-05,-,-
-3.05,2.4802359e-05,-,-
-3,2.3975844e-05,-,-
-2.95,2.2586227e-05,-,-
-2.9,2.1886434e-05,-,-
-2.85,2.120309e-05,-,-
-2.8,2.0562445e-05,-,-
-2.75,1.9946074e-05,-,-
-2.7,1.9333848e-05,-,-
-2.65,1.8676352e-05,-,-
-2.6,1.8088551e-05,-,-
-2.55,1.7465629e-05,-,-
-2.5,1.6895181e-05,-,-
-2.45,1.6341176e-05,-,-
-2.4,1.5772412e-05,-,-
-2.35,1.5248204e-05,-,-
-2.3,1.4739575e-05,-,-
-2.25,1.4238255e-05,-,-
-2.2,1.3751827e-05,-,-
-2.15,1.3280589e-05,-,-
-2.1,1.2791061e-05,-,-
-2.05,1.232949e-05,-,-
-2,1.18541e-05,-,-
-1.95,1.1419244e-05,-,-
-1.9,1.0983976e-05,-,-
-1.85,1.0585054e-05,-,-
-1.8,1.1186539e-05,-,-
-1.75,1.0848627e-05,-,-
-1.7,1.0501663e-05,-,-
-1.65,1.0129247e-05,-,-
-1.6,9.7649656e-06,-,-
-1.55,9.4328258e-06,-,-
-1.5,9.1101273e-06,-,-
-1.45,8.7976625e-06,-,-
-1.4,8.4875578e-06,-,-
-1.35,8.1825719e-06,-,-
-1.3,7.9051313e-06,-,-
-1.25,7.620868e-06,-,-
-1.2,7.3447375e-06,-,-
-1.15,7.0889438e-06,-,-
-1.1,6.8280305e-06,-,-
-1.05,6.584825e-06,-,-
-1,6.3397852e-06,-,-
-0.95,6.1022234e-06,-,-
-0.9,5.8541672e-06,-,-
-0.85,5.6290641e-06,-,-
-0.8,5.4030461e-06,-,-
-0.75,5.1725672e-06,-,-
-0.7,4.9385445e-06,-,-
-0.65,4.7008508e-06,-,-
-0.6,4.4639445e-06,-,-
-0.55,4.2027695e-06,-,-
-0.5,3.9352984e-06,-,-
-0.45,3.6575937e-06,-,-
-0.4,3.3705781e-06,-,-
-0.35,3.0733297e-06,-,-
-0.3,2.7756867e-06,-,-
-0.25,2.4775203e-06,-,-
-0.2,2.1473453e-06,-,-
-0.15,1.7964453e-06,-,-
-0.1,1.3806127e-06,-,-
-0.05,7.9660914e-07,-,-
0.01,5.1793159e-07,-,-
0.02,7.0592235e-07,-,-
0.03,1.0468144e-06,-,-
0.04,1.468749e-06,-,-
0.05,1.9354733e-06,-,-
0.06,2.5540327e-06,-,-
0.07,3.2331897e-06,-,-
0.08,3.9835701e-06,-,-
0.09,4.8089095e-06,-,-
0.1,5.7352469e-06,-,-
0.11,6.972419e-06,-,-
0.12,8.3275067e-06,-,-
0.13,9.8188081e-06,-,-
0.14,1.1485808e-05,-,-
0.15,1.3337027e-05,-,-
0.16,1.5803053e-05,-,-
0.17,1.8514553e-05,-,-
0.18,2.1523664e-05,-,-
0.19,2.4863842e-05,-,-
0.2,2.8607082e-05,-,-
0.21,3.3624705e-05,-,-
0.22,3.9171581e-05,-,-
0.23,4.5336962e-05,-,-
0.24,5.2214897e-05,-,-
0.25,5.9922312e-05,-,-
0.26,7.1392362e-05,-,-
0.27,8.2700279e-05,-,-
0.28,9.5479331e-05,-,-
0.29,0.00010996279,-,-
0.3,0.00012640871,-,-
0.31,0.00014757165,-,-
0.32,0.00017143511,-,-
0.33,0.00019839524,-,-
0.34,0.0002289794,-,-
0.35,0.0002638556,-,-
0.36,0.00030909418,-,-
0.37,0.00036018982,-,-
0.38,0.00041804312,-,-
0.39,0.00048395105,-,-
