Measured X,Measured Y,EQE_1718 X,EQE_1718 Y
1.005,0.15186296,1,0.076618195
1.01,0.15918474,1.008,0.081922424
1.015,0.13863276,1.016,0.085387464
1.02,0.1575715,1.024,0.09060238
1.025,0.20302274,1.032,0.096923606
1.03,0.2223379,1.04,0.10182395
1.035,0.22365065,1.048,0.10650673
1.04,0.23101916,1.056,0.11118344
1.045,0.23782246,1.064,0.11596607
1.05,0.22324061,1.072,0.12145843
1.055,0.20022952,1.08,0.12636429
1.06,0.21382974,1.088,0.12954095
1.065,0.24257003,1.096,0.13261998
1.07,0.2530555,1.104,0.13773634
1.075,0.24603181,1.112,0.14420305
1.08,0.23681491,1.12,0.14871998
1.085,0.20143918,1.128,0.15573414
1.09,0.20272632,1.136,0.16400602
1.095,0.22648809,1.144,0.17272786
1.1,0.26680986,1.152,0.18008548
1.105,0.27554649,1.16,0.18774045
1.11,0.24077694,1.168,0.1953793
1.115,0.20960535,1.176,0.20264863
1.12,0.23180262,1.184,0.20770076
1.125,0.27038262,1.192,0.21272974
1.13,0.29421288,1.2,0.21858041
1.135,0.30466102,1.208,0.22402424
1.14,0.31277241,1.216,0.22859665
1.145,0.31849152,1.224,0.23256164
1.15,0.32376559,1.232,0.23663471
1.155,0.32789787,1.24,0.23815367
1.16,0.33160218,1.248,0.24105886
1.165,0.32844489,1.256,0.24348086
1.17,0.32013946,1.264,0.2479494
1.175,0.28928199,1.272,0.25183401
1.18,0.25613488,1.28,0.25436871
1.185,0.27201727,1.288,0.25934588
1.19,0.2993251,1.296,0.26518411
1.195,0.32129481,1.304,0.27117379
1.2,0.34165528,1.312,0.27626283
1.205,0.35418016,1.32,0.28166317
1.21,0.36106403,1.328,0.28831309
1.215,0.36355177,1.336,0.29524746
1.22,0.36506787,1.344,0.30012449
1.225,0.36396219,1.352,0.30586122
1.23,0.35862645,1.36,0.3135733
1.235,0.36506648,1.368,0.32068817
1.24,0.37057285,1.376,0.32464058
1.245,0.37287119,1.384,0.3286858
1.25,0.37118367,1.392,0.33297478
1.255,0.36939848,1.4,0.33989939
1.26,0.36416763,1.408,0.34515939
1.265,0.3271888,1.416,0.35139874
1.27,0.31294053,1.424,0.35666608
1.275,0.34481526,1.432,0.36222658
1.28,0.365621,1.44,0.36683498
1.285,0.37336858,1.448,0.37111437
1.29,0.37758037,1.456,0.37738646
1.295,0.38015802,1.464,0.3827959
1.3,0.38304736,1.472,0.38893352
1.305,0.38509226,1.48,0.39401887
1.31,0.38824122,1.488,0.39850479
1.315,0.39178702,1.496,0.40367389
1.32,0.39290861,1.504,0.40834558
1.325,0.3947817,1.512,0.41176004
1.33,0.39639977,1.52,0.41684898
1.335,0.39809437,1.528,0.42102
1.34,0.39937724,1.536,0.42817267
1.345,0.40064343,1.544,0.43596512
1.35,0.40307939,1.552,0.44296161
1.355,0.404614,1.56,0.44923643
1.36,0.40417506,1.568,0.44712455
1.365,0.40422744,1.576,0.43860962
1.37,0.38874994,1.584,0.42914973
1.375,0.38537233,1.592,0.41878287
1.38,0.40346271,1.6,0.40745847
1.385,0.41485955,1.608,0.394598
1.39,0.42129244,1.616,0.37951725
1.395,0.42166266,1.624,0.36069147
1.4,0.418871,1.632,0.3385929
1.405,0.41941577,1.64,0.31760111
1.41,0.42056348,1.648,0.29328048
1.415,0.41797932,1.656,0.26534619
1.42,0.40954852,1.664,0.23331862
1.425,0.40592155,1.672,0.19572016
