Measured X,Measured Y,R_2808 X,R_2808 Y
1.795,0.30437238,1.632,0.2450784
1.8,0.30477882,1.636,0.26322902
-,-,1.64,0.27818554
-,-,1.644,0.28888894
-,-,1.648,0.29354895
-,-,1.652,0.29021382
-,-,1.656,0.27751631
-,-,1.66,0.25267472
-,-,1.664,0.21432575
-,-,1.668,0.15766856
-,-,1.672,0.094191618
-,-,1.676,0.045392058
-,-,1.68,0.056932205
-,-,1.684,0.15467634
-,-,1.688,0.31043039
-,-,1.692,0.46561728
-,-,1.696,0.58396637
-,-,1.7,0.65931955
-,-,1.704,0.69920042
-,-,1.708,0.71692572
-,-,1.712,0.69989023
-,-,1.716,0.63790398
-,-,1.72,0.51549953
-,-,1.724,0.33455586
-,-,1.728,0.33813387
-,-,1.732,0.58873377
-,-,1.736,0.75099465
-,-,1.74,0.8250154
-,-,1.744,0.86186412
-,-,1.748,0.88149373
-,-,1.752,0.89189467
-,-,1.756,0.89578864
-,-,1.76,0.89184746
-,-,1.764,0.87771813
-,-,1.768,0.84943392
-,-,1.772,0.79250328
-,-,1.776,0.68699557
-,-,1.78,0.58953541
-,-,1.784,0.65784004
-,-,1.788,0.78002517
-,-,1.792,0.85180535
-,-,1.796,0.88860448
-,-,1.8,0.90725879

